"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","AEC-Q","Ids","Vds","MOSType","GenericName","Mounting"
"41153b2e-8752-40da-a18f-f5a4e87fa89d","","","","","MOS,P-CH,12V,7.1A,SI2333CDS-T1-GE3,SOT23,SMD","SILICONIX","SI2333CDS-T1-GE3","R34","","","","","","SOT23","","7.1A","12V","P-CH","SI2333CDS-T1-GE3","SMD"
"33f8b539-64aa-4b3f-a1b0-557cfd7a0b2c","","","","","MOS,P-CH,50V,0.13A,BSS84,SOT23,SMD","NXP","BSS84","R136","","","","","","SOT23","","0.13A","50V","P-CH","BSS84","SMD"
"07eb7f7a-dfe1-4cec-b809-687485647542","","","","","MOS,P-CH,12V,4.3A,IRLML6401,SOT23,SMD","INFINEON","IRLML6401","R216","","","","","","SOT23","","4.3A","12V","P-CH","IRLML6401","SMD"
"f207628d-efe5-4b4c-840a-2ca39b4af4b1","","","","","MOS,N-CH,60V,0.25A,2N7002,SOT23,SMD","ONSEMI","2N7002","R212, R357, R358, R359, 360","","","","","","SOT23","","0.25A","60V","N-CH","2N7002","SMD"
"a600acdc-5817-40d0-be58-580d06129206","","","","","MOS,P-CH,20V,3.7A,IRLML6402,SOT23,SMD","INFINEON","IRLML6402","R211","","","","","","SOT23","","3.7A","20V","P-CH","IRLML6402","SMD"
"cc5e5889-8dbe-4d6c-a9fa-d9b239c2db3d","","","","","MOS,2 N-CH,30V,4.9A,IRF7303,SO8,SMD","INFINEON","IRF7303","R248, R234","","","","","","SO8","","4.9A","30V","2 N-CH","IRF7303","SMD"
"2e8cec93-0fae-4248-9e3a-170cd70d3138","","","","","MOS,N-CH,55V,17A,IRFZ24N,TO220,TH","INFINEON","IRFZ24N","","","","","","669871","TO220","","17A","55V","N-CH","IRFZ24N","TH"
"f06ea1b6-90a2-4825-aa56-49426458ca12","","","","","MOS,N-CH,50V,30A,BUZ11,TO220,TH","FAIRCHILD","BUZ11","R382","","","","","","TO220","","30A","50V","N-CH","BUZ11","TH"
"11d64e31-67f8-4ffd-84e0-e6520d986658","","","","","MOS,N-CH,30V,27A,STL50NH3,POWERFLAT","ST","STL50NH3","R612","","","","","","POWERFLAT","","27A","30V","N-CH","STL50NH3",""
"216d36aa-1102-46ab-bbba-5e3fb32eae19","","","","","MOS,P-CH,60V,2.5A,NDT2955,SOT223,SMD","ONSEMI","NDT2955","R619","","","","","","SOT223","","2.5A","60V","P-CH","NDT2955","SMD"
"2037bad0-7f18-48a3-a0f7-c9a8e52390da","","","","","MOS,P-CH,30V,10A,STS10PF30L-OBSOLETE,SO8,SMD","ST","STS10PF30L","R679","","","","","","SO8","OBSOLETE","10A","30V","P-CH","STS10PF30L-OBSOLETE","SMD"
"03bd457a-ef4e-4049-b3ae-ff3af30c8239","","","","","MOS,N-CH,30V,80A,STD85N3L-OBSOLETE,DPAK,SMD","ST","STD85N3L","R708","","","","","","DPAK","OBSOLETE","80A","30V","N-CH","STD85N3L-OBSOLETE","SMD"
"affc81c4-aabb-4f10-b31f-1cb437e98120","","","","","MOS,N-CH,30V,40A,STD50N03,DPAK,SMD","ST","STD50N03","R710","","","","","","DPAK","","40A","30V","N-CH","STD50N03","SMD"
"506bc4bf-a2cf-46f9-8087-23186e00af17","","","","","MOS,N-CH,30V,55A,STL55NH3LL-OBSOLETE,PPAK5060,SMD","ST","STL55NH3LL","R604","","","","","","PPAK5060","OBSOLETE","55A","30V","N-CH","STL55NH3LL-OBSOLETE","SMD"
"5577a094-c0b5-4191-86fb-7bc1fd75df5d","","","","","MOS,N-CH,30V,12A,STS12NF30L-OBSOLETE,SO8,SMD","ST","STS12NF30L","R589","","","","","","SO8","OBSOLETE","12A","30V","N-CH","STS12NF30L-OBSOLETE","SMD"
"f882a51b-0116-46d3-ab6a-8d690e4df55e","","","","","MOS,STF40NF06,ISO220,TH","ST","STF40NF06","A0435","","","","","","ISO220","","","","","STF40NF06","TH"
"791ca01c-8626-4422-8a49-f1109054d017","","","","","MOS,BS170,TO92,TH","","BS170","A0678","","","","","","TO92","","","","","BS170","TH"
"739432dd-5a3b-4c81-950e-aa3176d3d369","","","","","MOS,BSS138,SOT23,SMD","","BSS138","R749","","","","","","SOT23","","","","","BSS138","SMD"
"d1f8b0cf-912a-4121-b3f9-46d13dc7aa1f","","","","","MOS,SI2333DS-T1-E3,SOT23,SMD","","SI2333DS-T1-E3","R762","","","","","","SOT23","","","","","SI2333DS-T1-E3","SMD"
"cac0a021-7aae-4e15-a826-dc149786aa91","","","","","MOS,SBSS84LT1G","","SBSS84LT1G","R775","","","","","","","","","","","SBSS84LT1G",""
"69e4f70c-ffee-4f8b-ba6b-4a5cf54fe277","","","","","MOS,2N7002-TP,SMD","","2N7002-TP","R800","","2N7002-TPMSCT-ND","","","","","","","","","2N7002-TP","SMD"
"f2242336-8ed9-45b2-b42e-1f3d19b6a2cc","","","","","MOS,2N7002,SOT23,SMD","","2N7002","A0411","","","","","","SOT23","","","","","2N7002","SMD"
"ddb08da1-0861-4bf2-802c-299f7fbde651","","","","","MOS,BS250,TO92,TH","NXP","BS250","A1430","","","","","","TO92","","","","","BS250","TH"
"db48a89a-d71b-4042-8050-b725294f3ef8","","","","","MOS,BS170,TO92,TH","NXP","BS170","A1431","","","","","","TO92","","","","","BS170","TH"
